time,temperature,humidity,microphone
2024-12-06 23:34:53.101965529+00:00,26.1,38,2.08
2024-12-06 23:35:13.234505418+00:00,26.1,37,3.4
2024-12-06 23:35:33.377937713+00:00,26,40,5.96
2024-12-06 23:35:53.474953337+00:00,26,40,130.52
2024-12-06 23:36:13.619972529+00:00,26.1,40,6.44
2024-12-06 23:36:33.720719859+00:00,26,38,2.28
2024-12-06 23:36:53.875590337+00:00,25.8,38,14.28
2024-12-06 23:37:14.036934400+00:00,25.7,38,4.96
2024-12-06 23:37:34.160277530+00:00,25.6,38,3.48
2024-12-06 23:37:54.333706168+00:00,25.4,39,6.96
2024-12-06 23:38:14.464590046+00:00,25.3,39,7.96
2024-12-06 23:38:34.568167852+00:00,25.3,41,8.08
2024-12-06 23:38:54.694402449+00:00,25.4,41,10.96
2024-12-06 23:39:14.838245938+00:00,25.5,40,7.92
2024-12-06 23:39:34.869669372+00:00,25.5,39,18.24
2024-12-06 23:39:54.954939622+00:00,25.6,39,9.6
2024-12-06 23:40:18.539980862+00:00,25.6,39,15.28
2024-12-06 23:40:35.127139601+00:00,25.7,39,12.64
2024-12-06 23:40:55.153286384+00:00,25.7,39,22.64
2024-12-06 23:41:15.269675709+00:00,25.7,39,15.52
2024-12-06 23:41:36.078497599+00:00,25.8,39,7.4
2024-12-06 23:55:22.684039816+00:00,25.1,41,21.08
2024-12-06 23:55:42.794795498+00:00,25.1,41,4.8
2024-12-06 23:56:02.902370897+00:00,25.1,41,2.42
2024-12-06 23:56:23.029773474+00:00,25.1,41,14.32
2024-12-06 23:56:43.124963410+00:00,25.2,41,3.54
2024-12-06 23:57:03.261758427+00:00,25.2,41,5.96
2024-12-06 23:57:23.355058453+00:00,25.2,41,3.6
2024-12-06 23:57:43.487280079+00:00,25.2,41,3.62
2024-12-06 23:58:03.598057443+00:00,25.1,41,14.02
2024-12-06 23:58:23.737973446+00:00,25.2,43,9.18
2024-12-06 23:58:43.846706093+00:00,25.4,43,7.14
2024-12-06 23:59:03.985002669+00:00,25.7,42,3.04
2024-12-06 23:59:24.107531351+00:00,26,42,8.46
2024-12-06 23:59:44.236353701+00:00,26.2,42,6.94
2024-12-07 00:00:04.338333041+00:00,26.4,43,3.7
2024-12-07 00:00:31.784551704+00:00,26.5,41,14.08
2024-12-07 00:00:51.907983274+00:00,26.6,40,13.64
2024-12-07 00:01:12.040655204+00:00,26.6,40,35.24
2024-12-07 00:01:32.151087127+00:00,26.6,39,5.16
2024-12-07 00:01:52.314905662+00:00,26.6,38,7.24
2024-12-07 00:02:12.420530232+00:00,26.4,38,10.76
2024-12-07 00:02:32.540053038+00:00,26.4,40,18.36
2024-12-07 00:02:52.659655872+00:00,26.4,40,14.48
2024-12-07 00:03:12.809863307+00:00,26.5,40,3.88
2024-12-07 00:03:32.940652719+00:00,26.5,39,6.12
2024-12-07 00:03:53.088626069+00:00,26.5,38,18.44
2024-12-07 00:04:13.195976489+00:00,26.5,39,4.88
2024-12-07 00:04:33.352418246+00:00,26.4,39,2.24
2024-12-07 00:04:53.474832289+00:00,26.3,39,9.28
2024-12-07 00:05:21.097842698+00:00,26.3,39,9.28
2024-12-07 00:05:55.971532926+00:00,26.3,39,12.64
2024-12-07 00:06:16.076359203+00:00,26.5,39,64.64
2024-12-07 00:06:36.197197021+00:00,26.6,40,6.24
2024-12-07 00:06:56.293079689+00:00,26.6,39,12.04
2024-12-07 00:07:16.415770361+00:00,26.6,39,7.24
2024-12-07 00:07:36.580705443+00:00,26.6,39,11.92
2024-12-07 00:07:56.657084686+00:00,26.5,37,42.32
2024-12-07 00:08:16.790423619+00:00,26.4,38,14.6
2024-12-07 00:08:36.858129919+00:00,26.4,38,24.2
2024-12-07 00:08:56.953926552+00:00,26.4,40,16.76
2024-12-07 00:09:17.031527368+00:00,26.5,40,5.08
2024-12-07 00:09:37.110154400+00:00,26.6,40,15
2024-12-07 00:09:57.179384380+00:00,26.7,39,1.68
2024-12-07 00:10:17.337328379+00:00,26.6,38,6.24
2024-12-07 00:10:37.457527322+00:00,26.5,37,5.08
2024-12-07 00:10:57.621408863+00:00,26.4,38,9.44
2024-12-07 00:11:17.783227149+00:00,26.4,38,7.64
2024-12-07 00:11:37.913188394+00:00,26.3,37,5.32
2024-12-07 00:11:58.080963499+00:00,26.2,38,4.56
2024-12-07 00:12:18.214466504+00:00,26.2,38,6.4
2024-12-07 00:12:38.360416376+00:00,26.1,38,12.76
2024-12-07 00:12:58.425096553+00:00,26.1,38,24.04
2024-12-07 00:13:18.542113875+00:00,26,38,7.64
2024-12-07 00:13:38.663417478+00:00,26,38,32.64
2024-12-07 00:13:58.811954613+00:00,25.9,38,4.92
2024-12-07 00:14:18.890566229+00:00,25.8,38,58.96
2024-12-07 00:14:38.919339708+00:00,25.8,44,15.2
2024-12-07 00:14:58.965733365+00:00,26.1,44,6.08
2024-12-07 00:15:19.056617599+00:00,26.3,41,2.44
2024-12-07 00:15:39.126381220+00:00,26.3,40,4
2024-12-07 00:15:59.219694880+00:00,26.3,39,19.32
2024-12-07 00:16:19.305516555+00:00,26.2,39,10.08
2024-12-07 00:16:39.440813684+00:00,26.2,39,6.12
2024-12-07 00:16:59.502409851+00:00,26.1,38,7.4
2024-12-07 00:17:19.616798373+00:00,26.1,38,19.48
2024-12-07 00:17:39.733827247+00:00,26.1,39,11.2
2024-12-07 00:17:59.788746481+00:00,26.1,39,3.56
2024-12-07 00:18:19.871528726+00:00,26.1,38,7.6
2024-12-07 00:18:39.981353428+00:00,26.1,39,9.92
2024-12-07 00:19:00.058357734+00:00,26.1,38,2.36
2024-12-07 00:19:20.180200365+00:00,26.1,38,5.32
2024-12-07 00:19:40.257167277+00:00,26.1,39,24.72
2024-12-07 00:20:00.350600304+00:00,26.1,38,4.52
2024-12-07 00:20:20.422253105+00:00,26.1,38,2.76
2024-12-07 00:20:40.536529514+00:00,26.1,39,3.88
2024-12-07 00:21:00.595739896+00:00,26,39,10.68
2024-12-07 00:21:20.708825399+00:00,26,39,11.88
2024-12-07 00:21:40.770507265+00:00,26,38,21.4
2024-12-07 00:22:00.867567097+00:00,26,38,4.72
2024-12-07 00:22:20.974607986+00:00,26,39,24.52
2024-12-07 00:22:41.060337254+00:00,26,39,4.56
2024-12-07 00:23:01.179641991+00:00,26,39,10.92
2024-12-07 00:23:21.263218665+00:00,26,39,10.76
2024-12-07 00:23:41.390970260+00:00,26,39,5.68
2024-12-07 00:24:01.514812161+00:00,26,39,3.16
2024-12-07 00:24:21.643276826+00:00,26,39,2.36
2024-12-07 00:24:41.731538031+00:00,26,39,15.44
2024-12-07 00:25:01.825397771+00:00,26,39,3.84
2024-12-07 00:25:41.881525028+00:00,26,38,9.52
2024-12-07 00:26:01.916423513+00:00,26,38,9.36
2024-12-07 00:26:22.012431050+00:00,26,39,6.48
2024-12-07 00:26:42.086258044+00:00,26,39,14.68
2024-12-07 00:27:02.208197174+00:00,26,39,11.16
2024-12-07 00:27:22.306986756+00:00,26,38,6.36
2024-12-07 00:27:42.425295985+00:00,26,39,11.32
2024-12-07 00:28:22.557825577+00:00,26,40,8.76
2024-12-07 00:28:42.650686683+00:00,26,40,3.72
2024-12-07 00:29:02.779034267+00:00,26,39,7.64
2024-12-07 00:29:22.868681595+00:00,26,40,9.84
2024-12-07 00:29:42.982432523+00:00,26,40,7
2024-12-07 00:30:03.054655836+00:00,25.9,40,14.36
2024-12-07 00:30:23.167676459+00:00,26,39,9.84
2024-12-07 00:30:43.262190132+00:00,26.1,40,3.16
2024-12-07 00:31:03.377311026+00:00,26.1,39,8.28
2024-12-07 00:31:23.474064035+00:00,26.1,40,2.64
2024-12-07 00:31:43.548220494+00:00,26.1,39,13.16
2024-12-07 00:32:03.619233382+00:00,26.1,40,10.56
2024-12-07 00:32:23.720908511+00:00,26,40,7.12
2024-12-07 00:32:43.821900532+00:00,26,40,4.84
2024-12-07 00:33:03.929831433+00:00,25.9,40,13
2024-12-07 00:33:24.012729428+00:00,25.9,40,12.12
2024-12-07 00:33:44.134083445+00:00,25.8,40,10.84
2024-12-07 00:34:04.218911410+00:00,25.8,40,9.68
2024-12-07 00:34:24.332376478+00:00,25.7,40,3.12
2024-12-07 00:34:44.423996224+00:00,25.7,40,1.8
2024-12-07 00:35:04.557765336+00:00,25.7,40,7.84
2024-12-07 00:35:24.635366247+00:00,25.7,40,2.6
2024-12-07 00:35:44.738401470+00:00,25.7,40,8.12
2024-12-07 00:36:04.805683482+00:00,25.7,40,4.52
2024-12-07 00:36:24.917425958+00:00,25.7,40,3.84
2024-12-07 00:36:44.991160222+00:00,25.7,40,5.68
2024-12-07 00:37:05.094081926+00:00,25.7,40,7.32
2024-12-07 00:37:25.188873903+00:00,25.8,40,10.24
2024-12-07 00:37:45.296676127+00:00,25.8,41,9.16
2024-12-07 00:38:05.366532200+00:00,25.8,40,20.2
2024-12-07 00:38:25.494298354+00:00,25.8,40,14.08
2024-12-07 00:38:45.586072439+00:00,25.8,40,1.68
2024-12-07 00:39:05.696298060+00:00,25.7,40,5
2024-12-07 00:39:25.794571251+00:00,25.8,40,17.28
2024-12-07 00:39:45.894174655+00:00,25.8,40,9.72
